-146.87592,64.365346,"""C"" Lazy Moose RV Park","11161 Richardson Hwy,Salcha AK ,907 488-8141"
-73.403468,44.030277,10 Acres Campground and RV Park,"9 10 Acre Dr,Addison VT ,802 759-2662"
-75.997158,44.276788,1000 Islands Campground,"42099 SR 12,Alexandria Bay NY ,315 686-2600"
-76.05417,44.35005,1000 Islands Camping Resort,"382 1000 Islands Pkwy,Lansdowne ON ,613 659-3058"
-76.216943,43.891877,1000 Islands/Association Island K O A,"15530 Snowshoe Rd,Henderson NY ,315 955-6522"
-76.020809,44.36107,1000 Islands/Ivy Lea K O A,"514 Thousand Islands Pkwy  Lansdowne ON ,613 659-2817"
-75.882402,44.474913,1000 Islands/Mallorytown K O A,"1477 County Rd 2 Mallorytown ON ,613-923-5339"
-97.958195,26.145834,1015 RV Park,"1402 South International Blvd,Weslaco TX ,956 968-7516"
-112.632344,51.415188,11 Bridges Campground and RV Park,"332 4 Ave S,Rosedale AB ,403 823-2890"
-124.912576,58.716979,115 Creek Rest Area (no services),"Alaska Hwy MM 382,Fort Nelson BC "
-87.910779,39.344076,12 Oaks Campground (Closed),"13751 CR 550 E,Martinsville IL ,217 382-3396"
-140.873463,62.387044,1202 Motor Inn and RV Park,"Alaska Hwy MM 1202,Beaver Creek YT ,867 862-7600"
-112.624336,46.009027,2 Bar Lazy H RV Campgrounds,"122015 W Browns Gulch Rd,Butte-Silver Bow MT ,406 782-5464"
-95.414232,34.200347,2 J's Baldwood RV Park,"W Main St,Rattan OK ,580 587-2520"
-84.655484,35.203857,2 Rivers RV Park and Campground,"397 Dentville Rd,Benton TN ,423 338-7208"
-87.911546,39.347457,21 Guns Campgrounds,"13699 CR 550 E,Martinsville IL ,812 264-2549"
-100.758102,32.407486,223 RV Park,"6017 E I-20 ,Colorado City TX ,323 737-2014"
-102.448233,44.068302,24 Express Campground,"51 C Ave,Wasta SD ,605 993-3007"
-103.108749,48.168559,3 D's Campground,"5208 Hwy 1804,Ray ND ,701 568-3382"
-113.819411,33.706609,3 Dreamers RV Park,"54000 Hwy 60  Salome AZ ,Salome AZ ,928 859-4145"
-71.058029,43.011473,3 Ponds Campground,"146 North Rd,Brentwood NH ,603 679-5350"
-149.119635,64.578084,306-2 Campground,"George Parks Hwy MM 306.2,Nenana  AK "
-90.574894,38.820033,370 Lakeside Park RV Campground,"1000 Lakeside Park Dr,St Peters MO ,636 387-5253"
-97.72334,32.459045,377 RV Park,"4170 E. Hwy 377,Granbury TX ,817 579-1315"
-99.414178,37.917741,4 Aces RV Park,"W 10th St,Kinsley KS ,620 659-2321"
-83.72377,37.819286,4 Guys RV Park at the Gorge,"10137 Campton Rd,Stanton KY ,606 481-1611"
-97.062119,37.631789,4 Mile Creek Resort and Campground,"13218 SW Tawakoni Rd,Augusta KS ,316 733-O459"
-120.39887,38.043562,49er RV Ranch,"23223 Italian Bar Rd,Columbia CA ,209 532-4978"
-90.968287,41.06363,4th Pumping Station Campground (County),"2073 Pumping Station Rd,Oakville IA ,319 753-8260"
-95.30855,32.42303,5 Star RV Park,"10929 Lavender Rd,Tyler TX ,903 593-6815"
-96.997789,34.506494,50's Bungalows Cottages and Hwy 7 RV Park,"2105 Broadway Ave,Sulphur OK ,580 622-5499"
-108.090017,36.813174,505 RV Park,"80 Rd 3535,Flora Vista NM ,505 333-2600"
-95.385491,40.756773,59er Motel and Campground,"2007 Hwy 59,Shenandoah  IA ,712 246-2925"
-95.971072,28.99909,60 North RV Park,"501 Avenue F,Bay City TX ,979 245-6605"
-116.980168,60.001754,60th Parallel Territorial Park,"Mackenzie Hwy Km 0,NT "
-96.076941,36.048344,66 Mobile Home and RV Park,"7514 W 80th St,Tulsa OK ,918 224-1536"
-91.392946,32.846297,7 Oaks RV Campground,"10284 Rt 17,Oak Grove LA ,318 429-5282"
-97.125567,34.499115,77 Grill and RV Park,"401 South D St,Davis OK ,580 369-9012"
-107.379389,45.492694,7th Ranch RV Camp,"Reno Creek Rd,Garryowen MT ,406 638-2438"
-107.791671,32.266043,81 Palms Senior RV Resort,"2800 W Pine St,Deming NM ,575 546-7434"
-97.748553,31.433524,8th and Bridge RV,"717 Bridge St,Gatesville TX ,254 248-2442"
-122.651185,45.713971,99 RV Park,"1913 NE Leichner Rd,Vancouver WA ,360 573-0351"
-122.582187,48.860218,A A RV Park,"6006 Portal Way,Ferndale WA ,360 384-0898"
-97.109278,27.971569,A Bay Breeze RV Park,"175 Nell St,Rockport TX ,361 727-2000"
-81.56313,30.837682,A Big Wheel RV Park,"6031 Charlie Smith Sr Hwy,St Marys GA ,912 576-5386"
-83.894981,30.478229,A Campers World,"397 Campground Rd,Monticello FL ,850 997-3300"
-118.932219,35.349716,A Country RV Park,"622 South Fairfax Rd,Bakersfield CA ,661 363-6412"
-107.728262,32.268968,A Deming Roadrunner RV Park,"2849 E Pine St,Deming NM ,575 546-6960"
-151.510235,59.639156,A Fisherman's Resort RV Park,"1302 Ocean Dr,Homer AK ,907 235-1997"
-81.993646,36.035771,A Heavenly Getaway Campground and Retreat,"913 Big Plumtree Creek Rd,Plumtree NC ,828 766-2872"
-97.938802,30.504587,A Mountain Top RV,"11400 Mountain Top Circle,Jonestown TX ,512 940-0177"
-100.5415,46.834046,A Prairie Breeze RV Park,"2810 158th St NE,Menoken ND ,701 224-8215"
-80.801911,41.886249,A R U Marina and Campgrounds,"1420 Great Lakes Ave,Ashtabula OH ,440 992-9445"
-99.246685,34.149821,A and A RV Park,"6169 Bus Hwy 287,Vernon TX ,940 552-6530"
-81.120343,36.453676,A and C Campground,"3435 Pine Swamp Rd,Sparta NC ,336 372-7905"
-65.29011,47.770729,A and M Camping,"8882 Rt 11,Pokeshaw NB ,506 548-3984"
-94.710828,34.587459,A to Z Guest Ranch,"64599 Ashby Rd,Smithville OK ,580 244-3729"
-93.375906,30.181311,A+ Motel and RV Park,"4631 Hwy 27 S,Sulphur LA ,337 583-2631"
-97.682887,33.347948,A+ RV Park,"667 E Franklin St,Alvord TX ,940 539-9210"
