-76.98225,42.94637,AMBEST Express - 7-11 Stores 35115,315-781-1464,I-90 Exit 42 Rt. 14 MM 340,Phelps,NY,14532,USA
-91.538719,40.123736,AMBEST Express - Ayerco 32,573-288-0378,1700 Oak St,Canton,MO,63435,USA
-111.49861,40.73368,AMBEST Express - Bell's Silvercreek Junction,435-649-9243,I-80 Exit 146,Park City,UT,84068,USA
-83.07075,30.50314,AMBEST Express - Busy Bee 14 - Jasper,386-487-2920,I-75 Exit 460 at Hwy. 6,Jasper,FL,32052,USA
-95.525901,33.938364,AMBEST Express - Choctaw Nation Hugo 633,580-326-7595,Rt. 1 Box 17,Grant,OK,74738,USA
-96.050086,34.489435,AMBEST Express - Choctaw Nation Stringtown 641,580-346-7478,897 N HWY 69,Stringtown,OK,74569,USA
-89.65199,39.58992,AMBEST Express - Circle K 1398 - Divernon,217-628-1127,I-55 Exit 82 at St. Rte. 104,Divernon,IL,62530,USA
-89.46454,40.62543,AMBEST Express - Circle K 1424 - Morton,309-263-4057,I-74 Exit 102 at I-55,Morton,IL,61550,USA
-86.744725,36.144153,AMBEST Express - Daily's 6604 - Nashville,615-242-2566,I-40 Exit 212,Nashville,TN,37210,USA
-89.830825,36.083007,AMBEST Express - Deerfield Travel Center,573-695-2810,I-55 Exit 8 at Hwy. 61,Steele,MO,63877,USA
-83.393059,33.347989,AMBEST Express - Eatonton Travel Center,706-484-9886,US Hwy 441 / 100 Sara Lee Drive,Eatonton,GA,31024,USA
-112.64142,38.288838,AMBEST Express - Ernie's Truck Plaza Inc,435-438-5846,1035 N Main,Beaver,UT,84713,USA
-80.515106,33.283622,AMBEST Express - E-Z Shop 27 Travel Center,843-636-9740,I-26 Exit 172A,Harleyville,SC,29448,USA
-97.58744,43.6629,AMBEST Express - Fuel Mart 645,605-449-4626,I-90 Exit 353,Spencer,SD,57374,USA
-85.82211,38.74117,AMBEST Express - Fuel Mart 783,812-794-2615,I-65 Exit 34,Austin,IN,47102,USA
-75.678881,41.823217,AMBEST Express - Gibson Travel Plaza,570-465-3794,I-81 Exit 219 2174 SR 848,New Milford,PA,18834,USA
-75.495595,41.233226,AMBEST Express - Gouldsboro Travel Plaza,570-842-2211,I-380 Exit 13 17 Main St,Gouldsboro,PA,18424,USA
-84.741202,35.890748,AMBEST Express - Greenwave Service Plaza,865-354-4351,I-40 Exit 338 at TN299,Rockwood,TN,37854,USA
-86.732984,41.40581,AMBEST Express - Hank's Truck Stop,219-797-2244,1799 W. US 30,Hanna,IN,46340,USA
-99.42719,36.43385,AMBEST Express - Hutch's 113,580-256-2650,Hwy. 270 at Hwy. 412 183 15,Woodward,OK,73801,USA
-107.083739,41.773853,AMBEST Express - I-80 Travel Plaza,307-324-4407,I-80 Exit 221,Sinclair,WY,82334,USA
-69.61645,44.594197,AMBEST Express - Irving Fairfield,207-238-9979,I-95 Exit 132,Fairfield,ME,04937,USA
-100.86901,39.18601,AMBEST Express - JJ Travel Stop,785-672-3900,I-70 Exit 70,Oakley,KS,67748,USA
-121.263762,37.538409,AMBEST Express - Joe's Travel Plaza 11,209-894-3040,I-5 Exit 441 / 4415 Howard Road,Westley,CA,95387,USA
